Timestamp,What is your age?,What is your major?,What state are you from?,What is the best movie series?,"From the above, what age were you when you first watched a movie from this series ?",What streaming service did you watch this on?,Why is this the best series?,Why did you watch it at this age?,Should this movie first be seen in theaters? Why?
1/28/2024 21:12:32,17-20,Music Business ,Georgia ,Marvel,11-15,Saw in theaters,The characters,I watched it with friends,The soundtrack/audio
1/28/2024 21:12:36,17-20,Management ,Florida,Lord of the Rings + The Hobbit,11-15,DVD,The story,I watched it with family,The soundtrack/audio
1/28/2024 21:12:43,17-20,Animal science ,Georgia,Lord of the Rings + The Hobbit,11-15,Amazon Prime,The story,I watched it with family,Better on a big screen
1/28/2024 21:12:47,17-20,Biology ,Louisiana ,Harry Potter,11-15,Max,The characters,I watched it with friends,The soundtrack/audio
1/28/2024 21:13:03,17-20,Music Education,GA,Marvel,16-20,Disney+,The characters,I watched it with family,The soundtrack/audio
1/28/2024 21:13:24,21-23,Business Management ,Georgia ,Fast and Furious,11-15,FX Now,The story,I watched it with family,The soundtrack/audio
1/28/2024 21:13:32,21-23,Creative Technologies,Michigan,Star Wars,1-5,DVD,The creativity,I watched it with family,The atmosphere
1/28/2024 21:13:32,21-23,Finance,Georgia,Harry Potter,6-10,Amazon Prime,The story,I watched it with family,The atmosphere
1/28/2024 21:13:34,17-20,Engineering and Applied Physics,Georgia,Marvel,11-15,FX Now,The characters,I watched it with family,The atmosphere
1/28/2024 21:13:41,17-20,Exercise science,Florida,Jurassic Park,11-15,Amazon Prime,The story,I watched it with family,Better on a big screen
1/28/2024 21:15:22,17-20,DDE,Georgia,Marvel,6-10,Saw in theaters,The story,I watched it with family,The atmosphere
1/28/2024 21:15:33,21-23,Physics,Georgia,Lord of the Rings + The Hobbit,16-20,I forgot,All of it,I finished the book,All of it
1/28/2024 21:15:40,21-23,Marketing,Georgia,Star Wars,1-5,DVD,The story,I watched it with family,The atmosphere
1/28/2024 21:17:05,17-20,Animal Science ,California ,The Hunger Games,11-15,DVD,The characters,I watched it with family,Better on a big screen
1/28/2024 21:17:26,21-23,Chemistry,Tennessee,Lord of the Rings + The Hobbit,11-15,Saw on DVD and in the theaters,The story,I watched it with family,The soundtrack/audio
1/28/2024 21:18:47,21-23,Art/ COM,GA,Pirates of the Caribbean,6-10,Saw in theaters,The characters,I watched it with family,Better on a big screen
1/28/2024 21:19:18,17-20,Nursing ,Georgia ,The Hunger Games,16-20,Amazon Prime,The characters,I watched it with friends,Better with snacks
1/28/2024 21:19:51,17-20,Nursing,GA,Marvel,11-15,Disney+,The characters,I watched it with family,The atmosphere
1/28/2024 21:20:13,17-20,Undeclared,Georgia,Lord of the Rings + The Hobbit,6-10,DVD,"Everything thing about it. It's just the best, the story, the characters, the creativity, why do you think the won so many awards",I watched it with family,The atmosphere
1/28/2024 21:23:25,21-23,Biology,Georgia,Monsterverse (Godzilla 2014 - present),11-15,Saw in theaters,The worldbuilding and concept of kaiju as naturally occurring classes of animals that exist for specific ecological purposes ,I watched it with friends,The soundtrack/audio
1/28/2024 21:25:37,17-20,Biology,Alabama ,Star Wars,6-10,Disney+,The characters,I watched it with family,The atmosphere
1/28/2024 21:26:52,21-23,Education,Georgia ,Marvel,11-15,A DVD ,The story,I watched it with friends,The atmosphere
1/28/2024 21:27:09,21-23,Wildlife/Ecology/Conservation Biology,California,Pirates of the Caribbean,6-10,I'm not sure,The creativity,I watched it with family,Better on a big screen
1/28/2024 21:36:04,21-23,Nursing ,Georgia,Lord of the Rings + The Hobbit,16-20,Amazon Prime,The story,Family and friends,No at home with popcorn and family and friends on your own couch and TV and blankets
1/28/2024 21:37:38,21-23,Finance & Accounting,GA,Narnia,6-10,Amazon Prime,The creativity,The adventure of other little homies to be honest.,"Nope, in the comfort of your home with snacks."
1/28/2024 21:47:03,21-23,Psychology ,Georgia ,Harry Potter,11-15,DVD,The story,I watched it with family,Better on a big screen
1/28/2024 21:48:32,17-20,Animal Science ,Alabama ,Fast and Furious,6-10,Amazon Prime,The characters,I watched it with family,Better on a big screen
1/28/2024 21:49:50,21-23,Biology,Florida,Lord of the Rings + The Hobbit,6-10,VHS /DVD,The story,I watched it with family,Better on a big screen
1/28/2024 21:51:01,17-20,nursing ,GA,Marvel,11-15,DVD,The story,I watched it with family,The atmosphere
1/28/2024 21:53:14,17-20,Math and History,Tn,Lord of the Rings + The Hobbit,6-10,DVD,The characters,I watched it with friends,The soundtrack/audio
1/28/2024 22:00:42,21-23,spanish,georgia,Harry Potter,6-10,Saw in theaters,The story,I watched it with family,The atmosphere
1/28/2024 22:15:02,17-20,Animal Science,Georgia,Lord of the Rings + The Hobbit,11-15,DVD ,The characters,I watched it with family,The soundtrack/audio
1/28/2024 22:18:04,21-23,Economics and Religion double ,Georgia ,The Hunger Games,11-15,Saw in theaters,The story,I watched it with friends,The soundtrack/audio
1/29/2024 0:28:10,21-23,Math and CS,Georgia,Harry Potter,21-25,Peacock,The story,I just got my wisdom teeth out,Better on a big screen
1/29/2024 1:13:12,17-20,psychology and religion ,TN,Harry Potter,6-10,dvd,The story,I watched it with family,The atmosphere
1/29/2024 1:52:12,17-20,Exercise science,Alabama ,Harry Potter,11-15,Netflix,The story,I watched it with family,The soundtrack/audio
1/29/2024 5:01:51,17-20,Nursing,Georgia,Marvel,11-15,Saw in theaters,The creativity,I watched it with family,Better on a big screen
1/29/2024 11:55:08,17-20,Religion and Psych,Georgia,Harry Potter,6-10,Lol CD,The characters,I watched it with family,Not necessary
1/29/2024 13:04:26,17-20,Art education ,Georgia ,Lord of the Rings + The Hobbit,11-15,Had on dvd,The story,I watched it with family,Better on a big screen
1/29/2024 15:00:08,17-20,Elementary Education ,Tennessee,Harry Potter,11-15,Had on DVD,The story,I watched it with family,The atmosphere
